"CPID","Year","SurveyDate","BlockID","SiteID","FragSize","SizeClass","ForestProp1km","FragRatio1km","ForestProp1kmRadius","FragRatio1kmRadius","Hunted","BrowseProb","PlotID","CornerFlagged","Latitude","Longitude","HostID","Host","HostFamily","HostGenus","HostSpecies","HostAbund","IndNum","BranchNum","BranchLength","BranchDiam","NumLeaves","CatID","ScientificName","Count","BadHost","Family","Genus","Species","MicroLep","Specialist","wtMPD","Records","Hosts","RearID","Notes"
1843,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"CAROV","Carya ovata","Juglandaceae","Carya","ovata",1,1,3,NA,NA,5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1844,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"CAROV","Carya ovata","Juglandaceae","Carya","ovata",1,1,4,NA,NA,9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1845,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"HAMVI","Hamamelis virginiana","Hamamelidaceae","Hamamelis","virginiana",4,1,1,NA,NA,12,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1846,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"HAMVI","Hamamelis virginiana","Hamamelidaceae","Hamamelis","virginiana",4,2,2,NA,NA,52,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1847,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"HAMVI","Hamamelis virginiana","Hamamelidaceae","Hamamelis","virginiana",4,3,3,NA,NA,64,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1848,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"HAMVI","Hamamelis virginiana","Hamamelidaceae","Hamamelis","virginiana",4,4,4,90,6,NA,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1849,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"HAMVI","Hamamelis virginiana","Hamamelidaceae","Hamamelis","virginiana",4,4,5,110,7.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1850,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"HAMVI","Hamamelis virginiana","Hamamelidaceae","Hamamelis","virginiana",4,4,6,NA,NA,10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1851,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"HAMVI","Hamamelis virginiana","Hamamelidaceae","Hamamelis","virginiana",4,4,7,NA,NA,46,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1852,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"OSTVI","Ostrya virginiana","Betulaceae","Ostrya","virginiana",3,1,1,114,11.4,NA,"LYMADI","Lymantria dispar",2,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1853,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"OSTVI","Ostrya virginiana","Betulaceae","Ostrya","virginiana",3,2,2,27,10.4,NA,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1854,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"OSTVI","Ostrya virginiana","Betulaceae","Ostrya","virginiana",3,3,3,105,9.2,NA,"EUTRCL","Eutrapela clemataria",1,NA,"Geometridae","Eutrapela","clemataria","no","no",224.43,45,20,"CV_LFS_2_CP4_1_2017","released"
1855,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"OSTVI","Ostrya virginiana","Betulaceae","Ostrya","virginiana",3,3,3,105,9.2,NA,"LYMADI","Lymantria dispar",2,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1856,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",4,1,1,NA,NA,75,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1857,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",4,2,2,NA,NA,62,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1858,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",4,3,3,76,11.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1859,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_2_CP4","SE",41.795128,-72.343353,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",4,4,4,89,12.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1860,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"CARCA","Carpinus caroliniana","Betulaceae","Carpinus","caroliniana",1,1,1,98,5.7,NA,"EUPIVA","Eupithecia variegated",1,NA,"Geometridae","Eupithecia","variegated","no","no",193.23,92,17,"CV_LFS_3_CP1_2_2017","dead"
1861,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"CARCA","Carpinus caroliniana","Betulaceae","Carpinus","caroliniana",1,1,1,98,5.7,NA,"MELACA","Melanolophia canadaria",1,NA,"Geometridae","Melanolophia","canadaria","no","no",217.45,369,32,NA,""
1862,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"CARCA","Carpinus caroliniana","Betulaceae","Carpinus","caroliniana",1,1,2,53,5.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1863,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,1,96,9.6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1864,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,2,111,10.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1865,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,3,112,13.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1866,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,4,120,13.7,NA,"IRIDEP","Iridopsis ephyraria",1,NA,"Geometridae","Iridopsis","ephyraria","no","no",209.89,124,20,"CV_LFS_3_CP1_4_2017",""
1867,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,5,145,15.8,NA,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1868,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,1,1,58,6.9,NA,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1869,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,2,2,73,7.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1870,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,2,3,100,6.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1871,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,2,4,190,9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1872,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,3,5,52,5.9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1873,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,3,6,NA,NA,10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1874,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,3,7,77,10,NA,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1875,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,4,8,NA,NA,10,"LYMADI","Lymantria dispar",4,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1876,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,5,9,66,7.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1877,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUERU","Quercus rubra","Fagaceae","Quercus","rubra",3,1,1,41,5.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1878,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUERU","Quercus rubra","Fagaceae","Quercus","rubra",3,2,2,125,13,NA,"TORTRI","Tortricidae",1,NA,"Tortricidae","","","yes","",NA,NA,NA,"CV_LFS_3_CP1_1_2017","ask Dave/Hooman"
1879,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUERU","Quercus rubra","Fagaceae","Quercus","rubra",3,3,3,76,9.9,NA,"GELECH","Gelechiidae",1,NA,"Gelechiidae","","","yes","",NA,NA,NA,"CV_LFS_3_CP1_3_2017","ask Dave/Hooman"
1880,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUERU","Quercus rubra","Fagaceae","Quercus","rubra",3,3,3,76,9.9,NA,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1881,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP1","W",41.795349,-72.343132,"QUERU","Quercus rubra","Fagaceae","Quercus","rubra",3,3,3,76,9.9,NA,"NEMARE","Nematocampa resistaria",1,NA,"Geometridae","Nematocampa","resistaria","no","no",210.47,68,20,NA,""
1882,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"CARCA","Carpinus caroliniana","Betulaceae","Carpinus","caroliniana",1,1,1,65,7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1883,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",3,1,1,44,8.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1884,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",3,2,2,25,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1885,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",3,3,3,50,6.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1886,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",3,3,4,53,6.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1887,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",3,3,5,62,6.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1888,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",3,3,6,72,12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1889,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",3,3,7,76,12.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1890,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,1,1,NA,NA,81,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1891,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,2,2,131,11.6,NA,"CROCNO","Crocigrapha normani",1,NA,"Noctuidae","Crocigrapha","normani","no","no",230.76,70,21,"CV_LFS_3_CP2_1_2017",""
1892,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,2,2,131,11.6,NA,"LYMADI","Lymantria dispar",2,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1893,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,3,3,62,6.5,NA,"EUPIVA","Eupithecia variegated",1,NA,"Geometridae","Eupithecia","variegated","no","no",193.23,92,17,"CV_LFS_3_CP2_2_2017","dead; ask Dave/Hooman"
1894,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,4,4,128,11.9,NA,"LYMADI","Lymantria dispar",3,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1895,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,5,5,94,10.4,NA,"LYMADI","Lymantria dispar",3,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1896,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP2","N",41.795284,-72.343102,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",5,5,5,94,10.4,NA,"NEMARE","Nematocampa resistaria",1,NA,"Geometridae","Nematocampa","resistaria","no","no",210.47,68,20,NA,""
1897,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"CORCO","Corylus cornuta","Betulaceae","Corylus","cornuta",1,1,1,184,11.9,NA,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1898,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"CORCO","Corylus cornuta","Betulaceae","Corylus","cornuta",1,1,1,184,11.9,NA,"LAMBFI","Lambdina fiscellaria",1,NA,"Geometridae","Lambdina","fiscellaria","no","no",228.51,107,17,NA,"Likely L. fiscellaria (JGM)"
1899,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"CORCO","Corylus cornuta","Betulaceae","Corylus","cornuta",1,1,2,128,9.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1900,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"CORCO","Corylus cornuta","Betulaceae","Corylus","cornuta",1,1,3,71,6.2,NA,"LAMBFI","Lambdina fiscellaria",1,NA,"Geometridae","Lambdina","fiscellaria","no","no",228.51,107,17,NA,"Likely L. fiscellaria (JGM)"
1901,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"CORCO","Corylus cornuta","Betulaceae","Corylus","cornuta",1,1,3,71,6.2,NA,"MELACA","Melanolophia canadaria",1,NA,"Geometridae","Melanolophia","canadaria","no","no",217.45,369,32,NA,""
1902,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"CORCO","Corylus cornuta","Betulaceae","Corylus","cornuta",1,1,1,184,11.9,NA,"LAMBFI","Lambdina fiscellaria",1,NA,"Geometridae","Lambdina","fiscellaria","no","no",228.51,107,17,NA,"Likely L. fiscellaria (JGM)"
1903,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"CORCO","Corylus cornuta","Betulaceae","Corylus","cornuta",1,1,2,128,9.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1904,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"CORCO","Corylus cornuta","Betulaceae","Corylus","cornuta",1,1,3,71,6.2,NA,"LAMBFI","Lambdina fiscellaria",1,NA,"Geometridae","Lambdina","fiscellaria","no","no",228.51,107,17,NA,"Likely L. fiscellaria (JGM)"
1905,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"CORCO","Corylus cornuta","Betulaceae","Corylus","cornuta",1,1,3,71,6.2,NA,"MELACA","Melanolophia canadaria",1,NA,"Geometridae","Melanolophia","canadaria","no","no",217.45,369,32,NA,""
1906,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,1,128,12.7,NA,"LYMADI","Lymantria dispar",2,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1907,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,2,107,11.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1908,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,3,78,7.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1909,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,3,78,7.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1910,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,2,107,11.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1911,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",1,1,1,128,12.7,NA,"LYMADI","Lymantria dispar",2,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1912,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",19,1,1,49,6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1913,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",19,2,14,NA,NA,13,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1914,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",19,3,15,NA,NA,26,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1915,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",19,4,16,NA,4.4,17,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1916,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",19,5,17,92,8,NA,"LYMADI","Lymantria dispar",2,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1917,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",19,6,18,73,6.1,NA,"LYMADI","Lymantria dispar",1,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1918,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",19,6,19,124,9.6,NA,"LYMADI","Lymantria dispar",3,NA,"Erebidae","Lymantria","dispar","no","no",229.19,1880,42,NA,""
1919,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",19,7,20,64,5.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1920,2017,2017-06-12,"CV","LFS",41.436,"small",0.724,2.536,0.73,2.31,"yes",0.025,"CV_LFS_3_CP3","N",41.795277,-72.343285,"QUEAL","Quercus alba","Fagaceae","Quercus","alba",19,7,21,NA,3.9,10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
